design,design_label,workload_operations,pipeline_stages,is_power_of_two,stages_with_work,pass_through_stages,min_operations_per_stage,max_operations_per_stage,pipeline_region,latency_cycles,throughput_items_per_cycle,target_mhz,target_period_ns,platform,synthesis_frontend,synthesis_hierarchical,abc_area,orfs_image,cell_count,area_um2,sequential_area_um2,combinational_area_um2,sequential_area_percent,setup_wns_ns,setup_tns_ns,setup_worst_startpoint,setup_worst_endpoint,setup_worst_path,target_met,minimum_period_ns,fmax_mhz,hold_slack_ns,sequential_power_internal_w,sequential_power_switching_w,sequential_power_leakage_w,sequential_power_total_w,combinational_power_internal_w,combinational_power_switching_w,combinational_power_leakage_w,combinational_power_total_w,clock_power_internal_w,clock_power_switching_w,clock_power_leakage_w,clock_power_total_w,power_internal_w,power_switching_w,power_leakage_w,power_total_w,vectorless_energy_per_item_pj_at_target,power_estimation,clock_tree_power_included,synthesis_problems,status,area_period_pareto,area_power_pareto,minimum_area_meeting_target,minimum_period_point,minimum_vectorless_power_point
rs_chien,RS Chien/Horner pipeline,64,11,no,11,0,5,6,multi_operation,11,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21515,2620.79874,255.70404,2365.0947,9.76,-0.03176,-1.63907,pipeline_accumulator[2][19]$_DFFE_PP_,pipeline_accumulator[2][29]$_DFFE_PP_,pipeline_accumulator[2][19]$_DFFE_PP_ -> pipeline_accumulator[2][29]$_DFFE_PP_,no,1.03176,969.22,-0.09852,0.00359,0.00019,1.33e-07,0.00378,0.64,0.409,1.84e-06,1.05,0.0,0.0,0.0,0.0,0.644,0.409,1.97e-06,1.05,1050.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,12,no,12,0,5,6,multi_operation,12,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20896,2491.722,261.91512,2229.80688,10.51,-0.02566,-0.41036,pipeline_accumulator[1][7]$_DFFE_PP_,pipeline_accumulator[1][10]$_DFFE_PP_,pipeline_accumulator[1][7]$_DFFE_PP_ -> pipeline_accumulator[1][10]$_DFFE_PP_,no,1.02566,974.98,-0.09852,0.00398,0.000203,1.36e-07,0.00419,0.619,0.364,1.76e-06,0.983,0.0,0.0,0.0,0.0,0.623,0.364,1.9e-06,0.987,987.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,13,no,13,0,4,5,multi_operation,13,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,22054,2682.73458,268.1262,2414.60838,9.99,0.09188,0.0,pipeline_accumulator[0][46]$_DFFE_PP_,pipeline_accumulator[0][56]$_DFFE_PP_,pipeline_accumulator[0][46]$_DFFE_PP_ -> pipeline_accumulator[0][56]$_DFFE_PP_,yes,0.90812,1101.18,-0.09852,0.00399,0.00021,1.39e-07,0.0042,0.623,0.389,1.87e-06,1.01,0.0,0.0,0.0,0.0,0.627,0.389,2.01e-06,1.02,1020.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,14,no,14,0,4,5,multi_operation,14,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21140,2545.5951,274.33728,2271.25782,10.78,0.07976,0.0,pipeline_accumulator[1][41]$_DFFE_PP_,pipeline_accumulator[1][53]$_DFFE_PP_,pipeline_accumulator[1][41]$_DFFE_PP_ -> pipeline_accumulator[1][53]$_DFFE_PP_,yes,0.9202400000000001,1086.67,-0.09852,0.00426,0.000214,1.42e-07,0.00447,0.58,0.34,1.79e-06,0.92,0.0,0.0,0.0,0.0,0.584,0.34,1.94e-06,0.924,924.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,15,no,15,0,4,5,multi_operation,15,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20732,2468.74392,280.54836,2188.19556,11.36,0.07906,0.0,pipeline_accumulator[1][64]$_DFFE_PP_,pipeline_accumulator[1][75]$_DFFE_PP_,pipeline_accumulator[1][64]$_DFFE_PP_ -> pipeline_accumulator[1][75]$_DFFE_PP_,yes,0.9209400000000001,1085.84,-0.09852,0.00464,0.000215,1.44e-07,0.00485,0.562,0.31,1.74e-06,0.872,0.0,0.0,0.0,0.0,0.567,0.31,1.89e-06,0.877,877.0,vectorless_post_synthesis,no,0,success,yes,yes,yes,no,no
rs_chien,RS Chien/Horner pipeline,64,16,yes,16,0,4,4,multi_operation,16,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21988,2653.72038,286.75944,2366.96094,10.81,0.24133,0.0,pipeline_accumulator[0][58]$_DFFE_PP_,pipeline_accumulator[0][63]$_DFFE_PP_,pipeline_accumulator[0][58]$_DFFE_PP_ -> pipeline_accumulator[0][63]$_DFFE_PP_,yes,0.75867,1318.1,-0.09852,0.00451,0.000227,1.47e-07,0.00474,0.52,0.323,1.84e-06,0.842,0.0,0.0,0.0,0.0,0.524,0.323,1.99e-06,0.847,847.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,17,no,17,0,3,4,multi_operation,17,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21183,2556.6759,292.97052,2263.70538,11.46,0.2256,0.0,pipeline_x[6][1]$_DFFE_PP_,pipeline_accumulator[7][3]$_DFFE_PP_,pipeline_x[6][1]$_DFFE_PP_ -> pipeline_accumulator[7][3]$_DFFE_PP_,yes,0.7744,1291.32,-0.09852,0.00497,0.000223,1.5e-07,0.0052,0.519,0.283,1.8e-06,0.801,0.0,0.0,0.0,0.0,0.524,0.283,1.96e-06,0.806,806.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,18,no,18,0,3,4,multi_operation,18,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21521,2593.4175,299.1816,2294.2359,11.54,0.23332,0.0,pipeline_accumulator[12][5]$_DFFE_PP_,pipeline_accumulator[13][4]$_DFFE_PP_,pipeline_accumulator[12][5]$_DFFE_PP_ -> pipeline_accumulator[13][4]$_DFFE_PP_,yes,0.7666799999999999,1304.33,-0.09852,0.00511,0.000227,1.53e-07,0.00534,0.491,0.275,1.81e-06,0.766,0.0,0.0,0.0,0.0,0.497,0.275,1.97e-06,0.772,772.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,19,no,19,0,3,4,multi_operation,19,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21191,2552.12694,305.39268,2246.73426,11.97,0.2392,0.0,pipeline_accumulator[4][28]$_DFFE_PP_,pipeline_accumulator[4][34]$_DFFE_PP_,pipeline_accumulator[4][28]$_DFFE_PP_ -> pipeline_accumulator[4][34]$_DFFE_PP_,yes,0.7607999999999999,1314.41,-0.09852,0.00543,0.000244,1.56e-07,0.00567,0.481,0.264,1.78e-06,0.745,0.0,0.0,0.0,0.0,0.487,0.264,1.94e-06,0.751,751.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,20,no,20,0,3,4,multi_operation,20,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20650,2480.07258,311.60376,2168.46882,12.56,0.25209,0.0,pipeline_accumulator[1][14]$_DFFE_PP_,pipeline_accumulator[1][24]$_DFFE_PP_,pipeline_accumulator[1][14]$_DFFE_PP_ -> pipeline_accumulator[1][24]$_DFFE_PP_,yes,0.74791,1337.05,-0.09852,0.00574,0.000245,1.59e-07,0.00599,0.447,0.235,1.73e-06,0.682,0.0,0.0,0.0,0.0,0.453,0.235,1.89e-06,0.688,688.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
