design,design_label,workload_operations,pipeline_stages,is_power_of_two,stages_with_work,pass_through_stages,min_operations_per_stage,max_operations_per_stage,pipeline_region,latency_cycles,throughput_items_per_cycle,target_mhz,target_period_ns,platform,synthesis_frontend,synthesis_hierarchical,abc_area,orfs_image,cell_count,area_um2,sequential_area_um2,combinational_area_um2,sequential_area_percent,setup_wns_ns,setup_tns_ns,setup_worst_startpoint,setup_worst_endpoint,setup_worst_path,target_met,minimum_period_ns,fmax_mhz,hold_slack_ns,sequential_power_internal_w,sequential_power_switching_w,sequential_power_leakage_w,sequential_power_total_w,combinational_power_internal_w,combinational_power_switching_w,combinational_power_leakage_w,combinational_power_total_w,clock_power_internal_w,clock_power_switching_w,clock_power_leakage_w,clock_power_total_w,power_internal_w,power_switching_w,power_leakage_w,power_total_w,vectorless_energy_per_item_pj_at_target,power_estimation,clock_tree_power_included,synthesis_problems,status,area_period_pareto,area_power_pareto,minimum_area_meeting_target,minimum_period_point,minimum_vectorless_power_point
arx,ARX pipeline,64,11,no,11,0,5,6,multi_operation,11,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,18904,2185.35246,228.49776,1956.8547,10.46,-1.00983,-543.52431,pipeline_state[0][139]$_DFFE_PP_,pipeline_state[0][222]$_DFFE_PP_,pipeline_state[0][139]$_DFFE_PP_ -> pipeline_state[0][222]$_DFFE_PP_,no,2.00983,497.55,-0.10997,0.0132,0.000336,1.15e-07,0.0136,0.637,0.402,1.48e-06,1.04,0.0,0.0,0.0,0.0,0.65,0.402,1.6e-06,1.05,1050.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,12,no,12,0,5,6,multi_operation,12,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,19153,2212.16508,247.53924,1964.62584,11.19,-1.00679,-480.65153,pipeline_state[2][7]$_DFFE_PP_,pipeline_state[3][28]$_DFFE_PP_,pipeline_state[2][7]$_DFFE_PP_ -> pipeline_state[3][28]$_DFFE_PP_,no,2.00679,498.31,-0.10997,0.0144,0.000364,1.25e-07,0.0147,0.613,0.384,1.49e-06,0.997,0.0,0.0,0.0,0.0,0.628,0.384,1.61e-06,1.01,1010.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,13,no,13,0,4,5,multi_operation,13,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,19553,2267.78778,266.58072,2001.20706,11.76,-0.75096,-451.51466,pipeline_state[7][19]$_DFFE_PP_,pipeline_state[8][30]$_DFFE_PP_,pipeline_state[7][19]$_DFFE_PP_ -> pipeline_state[8][30]$_DFFE_PP_,no,1.75096,571.12,-0.10997,0.0149,0.000394,1.34e-07,0.0153,0.581,0.359,1.51e-06,0.94,0.0,0.0,0.0,0.0,0.596,0.36,1.64e-06,0.955,955.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,14,no,14,0,4,5,multi_operation,14,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,19745,2298.1725,285.6222,2012.5503,12.43,-0.75498,-376.45969,pipeline_state[3][20]$_DFFE_PP_,pipeline_state[4][31]$_DFFE_PP_,pipeline_state[3][20]$_DFFE_PP_ -> pipeline_state[4][31]$_DFFE_PP_,no,1.75498,569.81,-0.10997,0.0162,0.00043,1.44e-07,0.0166,0.557,0.338,1.51e-06,0.894,0.0,0.0,0.0,0.0,0.573,0.338,1.66e-06,0.911,911.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
arx,ARX pipeline,64,15,no,15,0,4,5,multi_operation,15,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,19417,2276.12754,304.66368,1971.46386,13.39,-0.70981,-341.28175,pipeline_state[7][9]$_DFFE_PP_,pipeline_state[7][92]$_DFFE_PP_,pipeline_state[7][9]$_DFFE_PP_ -> pipeline_state[7][92]$_DFFE_PP_,no,1.70981,584.86,-0.10997,0.0173,0.000454,1.53e-07,0.0178,0.531,0.311,1.49e-06,0.843,0.0,0.0,0.0,0.0,0.549,0.312,1.64e-06,0.861,861.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,16,yes,16,0,4,4,multi_operation,16,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,19652,2311.96518,323.70516,1988.26002,14.0,-0.41719,-248.42947,pipeline_state[1][6]$_DFFE_PP_,pipeline_state[2][30]$_DFFE_PP_,pipeline_state[1][6]$_DFFE_PP_ -> pipeline_state[2][30]$_DFFE_PP_,no,1.41719,705.62,-0.10997,0.0186,0.000492,1.63e-07,0.019,0.506,0.291,1.5e-06,0.797,0.0,0.0,0.0,0.0,0.525,0.291,1.66e-06,0.816,816.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,17,no,17,0,3,4,multi_operation,17,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20942,2455.43238,342.74664,2112.68574,13.96,-0.38043,-171.51589,pipeline_state[2][15]$_DFFE_PP_,pipeline_state[3][31]$_DFFE_PP_,pipeline_state[2][15]$_DFFE_PP_ -> pipeline_state[3][31]$_DFFE_PP_,no,1.38043,724.41,-0.10997,0.018,0.00052,1.72e-07,0.0186,0.484,0.281,1.58e-06,0.765,0.0,0.0,0.0,0.0,0.502,0.282,1.75e-06,0.784,784.0,vectorless_post_synthesis,no,0,success,yes,no,no,no,no
arx,ARX pipeline,64,18,no,18,0,3,4,multi_operation,18,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20114,2378.59578,361.78812,2016.80766,15.21,-0.41563,-162.7452,pipeline_state[1][4]$_DFFE_PP_,pipeline_state[2][29]$_DFFE_PP_,pipeline_state[1][4]$_DFFE_PP_ -> pipeline_state[2][29]$_DFFE_PP_,no,1.4156300000000002,706.4,-0.10997,0.018,0.000549,1.82e-07,0.0186,0.441,0.249,1.52e-06,0.691,0.0,0.0,0.0,0.0,0.459,0.25,1.7e-06,0.709,709.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,19,no,19,0,3,4,multi_operation,19,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20621,2438.2863,380.8296,2057.4567,15.62,-0.41499,-100.61692,pipeline_state[2][9]$_DFFE_PP_,pipeline_state[2][95]$_DFFE_PP_,pipeline_state[2][9]$_DFFE_PP_ -> pipeline_state[2][95]$_DFFE_PP_,no,1.41499,706.72,-0.10997,0.0178,0.000572,1.91e-07,0.0183,0.403,0.226,1.55e-06,0.63,0.0,0.0,0.0,0.0,0.421,0.227,1.74e-06,0.648,648.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,20,no,20,0,3,4,multi_operation,20,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20846,2475.74232,399.87108,2075.87124,16.15,-0.38498,-70.08429,pipeline_state[0][265]$_DFFE_PP_,pipeline_state[0][351]$_DFFE_PP_,pipeline_state[0][265]$_DFFE_PP_ -> pipeline_state[0][351]$_DFFE_PP_,no,1.38498,722.03,-0.10997,0.0175,0.000602,2.01e-07,0.0181,0.365,0.203,1.56e-06,0.568,0.0,0.0,0.0,0.0,0.382,0.204,1.76e-06,0.586,586.0,vectorless_post_synthesis,no,0,success,no,yes,no,no,no
